EmployeeID,Name,Department,JobRole,Gender,Age,YearsAtCompany,MonthlySalary,PerformanceRating,WorkLifeBalanceScore,AttritionRisk,Attrition_Prob,Risk_Level,gaps_count,weighted_gap_score,coverage_pct,Top_Skill_Gap,Rec_Priority,Recommended_Tools
1,Steven Barnett,Finance,Auditor,Other,57,9,93531,4,1.9,No,0.0017,LOW,7,21.51,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
2,Christopher Benson,Sales,Sales Executive,Female,26,11,53706,1,5.03,Yes,0.9922,HIGH,5,18.49,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
3,Norman Lane,Support,Helpdesk,Other,59,15,105756,4,4.83,No,0.0013,LOW,7,26.49,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
4,Rita Walker,Hr,Hr Executive,Female,43,10,176377,4,4.6,No,0.0017,LOW,7,24.13,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
5,Judith Ware,Sales,Account Manager,Male,52,6,154782,4,3.73,No,0.0008,LOW,6,20.37,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
6,Peggy Mann,Support,Helpdesk,Other,33,7,58647,3,2.37,No,0.0017,LOW,5,16.13,0.5,Writing,Critical,N/A (V2 requires sentence-transformers with valid GPU)
7,Brenda Bauer,It,Engineer,Male,55,7,70273,1,6.47,No,0.0192,LOW,7,25.49,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
8,Troy Ford,Hr,Hr Executive,Female,51,9,178909,3,-0.27,No,0.0071,LOW,7,26.12,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
9,Joel Fuller,Hr,Hr Executive,Male,32,15,51014,3,0.17,No,0.0079,LOW,6,23.37,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
10,Cody Bright,Finance,Accountant,Female,54,14,63726,2,2.63,Yes,0.9907,HIGH,6,20.25,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
11,Sara Snyder,Hr,Hr Executive,Other,52,10,64215,3,7.43,No,0.0013,LOW,6,19.13,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
12,David Williams,Support,Helpdesk,Male,55,14,76960,5,6.87,No,0.0012,LOW,6,23.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
13,Shannon Clark,Finance,Accountant,Male,47,5,151391,4,5.07,No,0.0008,LOW,7,26.24,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
14,Jeffery Lopez,Hr,Hr Manager,Female,50,13,170862,4,8.43,No,0.0013,LOW,7,24.75,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
15,Anna Dominguez,It,Developer,Male,26,7,161974,3,8.3,No,0.0009,LOW,5,15.25,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
